model,accuracy,precision_macro,recall_macro,f1_macro,cv_f1_macro_mean,cv_f1_macro_std,train_time_sec
Decision Tree,0.6753846153846154,0.6694578630064467,0.7053945249597423,0.6668187903127661,0.7067660114570871,0.09302808122613303,0.003
Logistic Regression,0.6538461538461539,0.6277413300073944,0.6466183574879226,0.6278947907066321,0.6179745378830047,0.03436333175503335,0.011
SVM (RBF),0.62,0.41333333333333333,0.5413043478260869,0.4678109057476778,0.6051946214989693,0.015307443789478339,0.008
Random Forest,0.5753846153846154,0.7088014981273408,0.5144122383252818,0.4584173684061367,0.640898196332979,0.011277185587800194,0.324
